year	country	eci	inatlas
2013	LSO	-.78290772	1
2013	LTU	.69757116	1
2013	LUX	1.0668151	1
2013	LVA	.56835717	1
2013	MAC	.45607713	1
2013	MAR	-.53235626	1
2013	MDA	-.073050849	1
2013	MDG	-1.1016797	1
2013	MDV	-.55479425	1
2013	MEX	1.0791534	1
2013	MHL	-.97186434	1
2013	MKD	-.14149559	1
2013	MLI	-1.0955069	1
2013	MLT	.95302176	1
2013	MMR	-1.1675709	1
2013	MNE	.15092988	1
2013	MNG	-1.0247889	1
2013	MNP	.80529296	1
2013	MOZ	-1.210428	1
2013	MRT	-1.9346486	1
2013	MSR	1.7791709	1
2013	MUS	-.10232104	1
2013	MWI	-.86551154	1
2013	MYS	.78741407	1
2013	MYT	-.1199377	1
2013	NAM	-.44346029	1
2013	NCL	-.12472411	1
2013	NER	-.86549503	1
2013	NFK	1.3249637	1
2013	NGA	-1.8869253	1
2013	NIC	-.99760634	1
2013	NIU	1.3325069	1
2013	NLD	1.0168735	1
2013	NOR	.70561385	1
2013	NPL	-.16245639	1
2013	NRU	.57079154	1
2013	NZL	.015081427	1
2013	OMN	-.42208827	1
2013	PAK	-.83050644	1
2013	PAN	.35357574	1
2013	PCN	.95328277	1
2013	PER	-.78039598	1
2013	PHL	.32129043	1
2013	PLW	.7727654	1
2013	PNG	-1.581181	1
2013	POL	1.0702035	1
2013	PRT	.64824224	1
2013	PRY	-.65290821	1
2013	PSE	.1290267	1
2013	PYF	.016667793	1
2013	QAT	-.49197116	1
2013	ROU	.89368635	1
2013	RUS	.40056273	1
2013	RWA	-.43911088	1
2013	SAU	-.044864748	1
2013	SDN	-1.384613	1
2013	SEN	-.6577639	1
2013	SGP	1.6137484	1
2013	SGS	1.4285321	1
2013	SHN	1.9323503	1
2013	SLB	-1.0868957	1
2013	SLE	-.65292734	1
2013	SLV	-.012130053	1
2013	SMR	1.186781	1
2013	SOM	-.89927411	1
2013	SPM	-.50615501	1
2013	SRB	.55792516	1
2013	STP	.52392846	1
2013	SUR	-.78643912	1
2013	SVK	1.6619782	1
2013	SVN	1.5670923	1
2013	SWE	1.8172556	1
2013	SWZ	-.026747668	1
2013	SYC	-.01293409	1
2013	SYR	-.12176557	1
2013	TCA	.64263171	1
2013	TCD	-2.7509825	1
2013	TGO	-.6694724	1
2013	THA	.99319261	1
2013	TJK	-1.3991113	1
2013	TKL	.78596973	1
2013	TKM	-1.4028982	1
2013	TLS	-.97879297	1
2013	TON	.32401726	1
2013	TTO	-.24190518	1
2013	TUN	.16899505	1
2013	TUR	.43726897	1
2013	TUV	.19138689	1
2013	TZA	-.94977695	1
2013	UGA	-.65372133	1
2013	UKR	.46539411	1
