condition_fct,count,percent_of_total,percent_of_above,type
control,99186,82.93,48.82,above_0
experiment,103967,86.93,51.18,above_0
control,39841,33.31,43.91,above_10
experiment,50889,42.55,56.09,above_10
control,2489,2.08,34.68,above_100
experiment,4689,3.92,65.32,above_100
control,11,0.01,23.91,above_1000
experiment,35,0.03,76.09,above_1000
